===== 快速查找索引 =====

使用说明：找到图片ID后，告诉Claude："请处理ID为 xxx 的图片"

asset_1770400284937_qxalb71e9 | 现代装-手持道具-喜庆风-灯笼 | 1 (1).jpg
asset_1770400300048_bmuovslqb | 财神装-手持道具-喜庆风-春联 | a76d54130ba053ce2377bf1a34643382d10b175e2884371f19a1c56803841457.png
asset_1770400312603_45f1e926w | 现代装-站立-优雅风-无道具 | AirPods Max 无蓝牙连接电脑 (2).png
asset_1770400322463_tlh1csm0p | 现代装-站立-喜庆风 | AirPods Max 无蓝牙连接电脑 (3).png
asset_1770400330367_b37k1cfus | 现代装-手持道具-喜庆风-彩龙饰品 | s` (347)(1).jpg
asset_1770400338653_s1bpmq7he | 现代装-手持道具-喜庆风-福饰 | 微信图片_20260130225122_249_2540.jpg
asset_1770400346704_vukuo6lhr | 财神装-持道具-喜庆风-春联 | 微信图片_20260130225357_255_2540.jpg
asset_1770400359567_ekaj849ai | 现代装-手持道具-喜庆风-春联 | 春节真人_男_16.png
asset_1770400370739_k9o9sw515 | 现代装-手持道具-喜庆风-吉祥物 | 春节真人_男_23.png
asset_1770400382571_t7wluemks | 汉服-站立-传统风-无道具 | 12345.png
asset_1770400403239_c4vj793v6 | 现代装-坐姿-喜庆风-福饰 | 3 (1).jpg
asset_1770400424958_05c1pt8oh | 现代装-其他-喜庆风-无道具 | 3 (2).jpg
asset_1770400450869_0igp9780i | 现代装-坐姿-喜庆风-灯笼 | 3 (3).jpg
asset_1770400473300_umbd225j5 | 现代装-坐姿-喜庆风 | 3 (4).jpg
asset_1770400491008_aewab5o0s | 现代装-手持道具-喜庆风-灯笼 | 3 (5).jpg
asset_1770400509863_e0deucuqd | 现代装-坐姿-喜庆风-无道具 | 3 (6).jpg
asset_1770400533283_uo2vuszl4 | 现代装-手持道具-喜庆风-福饰 | 3 (7).jpg
asset_1770400556519_0ztjb43gu | 现代装-坐姿-喜庆风-灯笼 | 3 (8).jpg
asset_1770400575615_0q5u7lctr | 现代装-坐姿-喜庆风-灯笼 | 3 (9).jpg
asset_1770400593387_mezab46mo | 现代装-坐姿-喜庆风-无道具 | 4 (1).jpg
asset_1770400615954_7kx7h4i0q | 现代装-手持道具-活泼风-无道具 | 4 (2).jpg
asset_1770400638257_0uwh3sga5 | 现代装-手持道具-喜庆风-无道具 | 4 (3).jpg
asset_1770400655631_6jtkqa44g | 现代装-坐姿-喜庆风-无道具 | 4 (4).jpg
asset_1770400680728_l7os94y2r | 现代装-手持道具-喜庆风-无道具 | 4 (5).jpg
asset_1770400701355_np052m7mw | 现代装-其他-活泼风-无道具 | 4 (6).jpg
asset_1770400724498_rworkpkcj | 现代装-手持物品-优雅风-无道具 | 4 (7).jpg
asset_1770400768498_phfv7xpjo | 现代装-手持道具-喜庆风-红包 | 5 (1).jpg
asset_1770400777376_i0dgqiytu | 现代装-手持道具-喜庆风-红包 | 5 (1).png
asset_1770400790904_r6s3whvdq | 旗袍-坐姿-喜庆风-无道具 | 5 (10).jpg
asset_1770400807009_4wiahg653 | 旗袍-手持道具-喜庆风-无道具 | 5 (2).jpg
asset_1770400817623_5tcfrj28z | 旗袍-手持道具-喜庆风-红包 | 5 (2).png
asset_1770400831370_5s1uqpevc | 旗袍-站立-喜庆风-无道具 | 5 (3).jpg
asset_1770400845764_zvcl79sbu | 旗袍-坐姿-喜庆风-灯笼 | 5 (4).jpg
asset_1770400860110_t8ccuyt72 | 旗袍-站立-喜庆风-灯笼 | 5 (5).jpg
asset_1770400874546_hf7k9pb11 | 旗袍-手持道具-喜庆风-红包 | 5 (6).jpg
asset_1770400893942_tlb9vmhrd | 旗袍-手持道具-喜庆风-红包 | 5 (7).jpg
asset_1770400906199_ahmqz0mip | 现代装-手持道具-喜庆风-红包 | 5 (8).jpg
asset_1770400920406_471kosv52 | 旗袍-坐姿-喜庆风-无道具 | 5 (9).jpg
asset_1770400931749_oall0ui2z | 旗袍-手持道具-喜庆风-春联 | 690872624-71ee668d691c87aafbefd14813a00f651caeab6a1961f0f66fb1d5bb0d9eb339.png
asset_1770400942504_rkde9pvm0 | 汉服-手持道具-喜庆风-春联 | 99480dd3ed5fb7ab5c4f4cdcaf54ef2d618459260e57e83d6b45cc3540bda0fd.png
asset_1770400957084_uuxcev16o | 现代装-站立-喜庆风-灯笼 | ab5d31452bf410d5454266b4e93850085b874830c0129a671b045cf3830a3199.png
asset_1770400971485_0ss3hnayg | 现代装-手持道具-喜庆风-灯笼 | AirPods Max 无蓝牙连接电脑 (1).png
asset_1770400984185_qelu09oqz | 现代装-手持道具-喜庆风-吉祥物 | AirPods Max 无蓝牙连接电脑.png
asset_1770400995878_d4ke535d0 | 唐装-手持道具-喜庆风-春联 | ca55e4895f27a14214673ec3a60c37a6b335c001596e5ad15a70153fd24fe4e2.png
asset_1770401006736_7bjxep229 | 汉服-手持道具-喜庆风-春联 | e05d4b5b19f2f5e3400e043813c03872d1249d9b99b47593cfa84df69974a060.png
asset_1770401023156_stxahq8vj | 汉服-手持道具-喜庆风-春联 | ea886347c2f8abf0e0735a6cd5dbf68e2e542faf19c2e50bb661b8c8c6366f77.png
asset_1770401039079_azx6h14nu | 财神装-手持对联-喜庆风-对联 | f4ebde653597b2cdc1d1821e615445f3e421f4b4984175b82f7858dd0643406c.png
asset_1770401051885_eccvye9m7 | 财神装-手持道具-喜庆风-春联 | Gemini_Generated_Image_i5pjhfi5pjhfi5pj.png
asset_1770401063594_zgniw0irc | 现代装-手持道具-喜庆风-吉祥物 | s` (349)(1).jpg
asset_1770401072054_ymjweq3sy | 现代装-其他-喜庆风-无道具 | 微信图片_20260130223342_197_2540.jpg
asset_1770401083903_ckaje6v7y | 现代装-手持道具-喜庆风-无道具 | 微信图片_20260130224146_208_2540.jpg
asset_1770401093703_rxe0ae0hp | 现代装-手持道具-喜庆风-福字挂饰 | 微信图片_20260130225002_242_2540.jpg
asset_1770401107547_h5oknw7pk | 现代装-手持道具-喜庆风-吉祥物 | 新年写真 (10).jpg
asset_1770401118086_a12ysu90j | 现代装-手持道具-喜庆风-春联 | 新年写真 (11).jpg
asset_1770401128822_fbeqh2yip | 现代装-坐姿-喜庆风-灯笼 | 新年写真 (12).jpg
asset_1770401139399_kw739931d | 旗袍-手持道具-喜庆风-灯笼 | 新年写真 (13).jpg
asset_1770401151346_9yumhojci | 旗袍-手持灯笼-喜庆风-红色 | 新年写真 (14).jpg
asset_1770401162141_y37d2byzd | 旗袍-手持道具-喜庆风-红包 | 新年写真 (16).jpg
asset_1770401173933_za6kbmg3o | 唐装-其他-喜庆风-无道具 | 新年写真 (17).jpg
asset_1770401184933_yge9py180 | 旗袍-手持道具-喜庆风-灯笼 | 新年写真 (18).jpg
asset_1770401198508_pahaf6sod | 旗袍-站立-喜庆风-无道具 | 新年写真 (19).jpg
asset_1770401209409_yhz5rtlgj | 现代装-手持道具-喜庆风-灯笼 | 新年写真 (20).jpg
asset_1770401223269_om14ipaa0 | 旗袍-手持道具-喜庆风-红包 | 新年写真 (21).jpg
asset_1770401236521_nhkrsv6xo | 现代装-手持道具-喜庆风-春联 | 春节真人_女_01.png
asset_1770401254979_dvbuqgi1e | 唐装-手持道具-喜庆风-春联 | 春节真人_女_04.png
asset_1770401270946_k75ii701x | 唐装-手持道具-喜庆风-春联 | 春节真人_女_07.png
asset_1770401278132_d8gym0b23 | 现代装-持道具-喜庆风-元宝 | 春节真人_女_09.png
asset_1770401292267_553xdche7 | 旗袍-站立-喜庆风-无道具 | 春节真人_女_16.png
asset_1770401303735_e2zn3t090 | 现代装-手持春联-喜庆风-红色 | 春节真人_女_18.png
asset_1770401313568_24khsaawk | 汉服-站立-传统风-无道具 | 春节真人_女_22.png
asset_1770401324280_7fc21nlzm | 现代装-其他-喜庆风-无道具 | 春节真人_女_25.png
asset_1770401333740_6va5o1omn | 旗袍-站立-优雅风-无道具 | 春节真人_女_35.png
asset_1770401346693_0aa517q55 | 旗袍-手持道具-喜庆风-灯笼 | 春节真人_女_57.png
asset_1770401364364_bhll8xlhf | 汉服-手持道具-喜庆风-金球 | 0e651d3ac759739b9d556be65160fcb165d6b5a9a80df6e204ac08d9997744f1.png
asset_1770401383719_7ntu2dumo | 汉服-坐姿-喜庆风-无道具 | fe5ab0bdacd924ba46e31c4e7259a83a611c84babde511ce280fa62764b79fa4.png
asset_1770401390497_2sh05jjhc | 儿童装-手持福字-喜庆风-福字 | 微信图片_20260130224148_211_2540.jpg
asset_1770401403977_bjhx1doh7 | 儿童装-手持道具-喜庆风-无道具 | 微信图片_20260130224152_215_2540.jpg
asset_1770401412562_vz35i5t76 | 儿童装-手持道具-喜庆风-吉祥物 | 微信图片_20260130225722_267_2540.jpg
asset_1770401420231_tfivt8qi4 | 现代装-其他-优雅风-无道具 | 春节真人_童_04.png
asset_1770401431560_2dvir57la | 唐装-手持道具-喜庆风-福字装饰 | 春节真人_童_08.png
asset_1770401447094_dqrs5ad03 | 儿童装-手持道具-喜庆风-吉祥物 | 春节真人_童_18.png
asset_1770401460920_6kdisicbl | 情侣装-情侣互动-喜庆风-红包 | 1 (2).jpg
asset_1770401476040_2gzfcedy8 | 情侣装-手持道具-喜庆风-红包 | 1 (3).jpg
asset_1770401489486_56qbkl6v0 | 情侣装-情侣互动-喜庆风-红包 | 1 (4).jpg
asset_1770401509566_de5enlrea | 情侣装-互动-喜庆风-无道具 | 1 (5).jpg
asset_1770401524206_3kaklvb5a | 现代装-手持道具-喜庆风-福字盒 | 1 (6).jpg
asset_1770401534161_pu3ic74ga | 情侣装-情侣互动-活泼风-无道具 | s` (348)(1).jpg
asset_1770401542909_nfgnpx6ka | 情侣装-情侣互动-喜庆风-无道具 | s` (350)(1).jpg
asset_1770401559180_of8j5i9g4 | 现代装-其他-喜庆风-无道具 | s` (351)(1).jpg
asset_1770401568023_qg12r2zdl | 情侣装-站立-喜庆风 | s` (352)(1).jpg
asset_1770401577489_xanfp7fe2 | 情侣装-手持道具-喜庆风-春联 | s` (353)(1).jpg
asset_1770401587587_44wvqc3f5 | 现代装-坐姿-喜庆风-春联 | s` (354)(1).jpg
asset_1770401598894_f40h4c7qw | 现代装-坐姿-喜庆风-春联 | s` (355)(1).jpg
asset_1770402697273_fppskd5jr | 现代装-手持道具-活泼风-无道具 | 4 (8).jpg
asset_1770402708625_5h75yng24 | 现代装-站立-喜庆风-喜庆道具 | 1.png
asset_1770402719548_ixmbpewoz | 现代装-拜年姿势-喜庆风-灯笼 | 2.png
asset_1770402734171_m4pm0uj46 | 现代装-其他-喜庆风-无道具 | 3.png
asset_1770402748006_64u98vjl3 | 现代装-其他-喜庆风-福字灯笼 | 4.png
asset_1770402760345_o5iim780u | 现代装-站立-喜庆风-喜庆道具 | 5.png
asset_1770402771361_ji78u3ium | 现代装-站立-喜庆风-无道具 | 6.png
asset_1770402785224_i0fnrfgmh | 唐装-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (10).png
asset_1770402796449_rd84hlhfc | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (11).png
asset_1770402810952_uunkzv8p7 | 旗袍-站立-喜庆风-无道具 | 图片元素替换与裁剪 (12).png
asset_1770402825596_3waj9rwqp | 财神装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (13).png
asset_1770402838465_kdfp5ai1e | 现代装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (14).png
asset_1770402850135_iiewx93v7 | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (15).png
asset_1770402862435_6vtthhb20 | 旗袍-坐姿-喜庆风-灯笼 | 图片元素替换与裁剪 (16).png
asset_1770402874041_smal3rety | 旗袍-站立-喜庆风-无道具 | 图片元素替换与裁剪 (17).png
asset_1770402886453_av7vzxzv8 | 现代装-站立-喜庆风-福字装饰 | 图片元素替换与裁剪 (18).png
asset_1770402898605_u3f6bx6ad | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (19).png
asset_1770402911144_ax42lburc | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (2).png
asset_1770402925058_xz6w21ck4 | 旗袍-手持道具-喜庆风-灯笼 | 图片元素替换与裁剪 (20).png
asset_1770402937604_cdz42mpke | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (21).png
asset_1770402949622_pl4nv2zjg | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (22).png
asset_1770402961739_oi1md2rvm | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (23).png
asset_1770402973496_7rwxzt2dz | 财神装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (24).png
asset_1770402985804_3j8ch8c1r | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (25).png
asset_1770402999161_vmrn4pea0 | 财神装-拜年姿势-喜庆风-无道具 | 图片元素替换与裁剪 (26).png
asset_1770403010444_plfwykqkc | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (27).png
asset_1770403024062_dq75mlhzf | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (28).png
asset_1770403036594_awdvhbr7g | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (29).png
asset_1770403048355_tcdr52u5r | 唐装-坐姿-喜庆风-春联 | 图片元素替换与裁剪 (3).png
asset_1770403065093_3gtxknw6d | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (30).png
asset_1770403076450_ld4vqq0ns | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (31).png
asset_1770403088392_c0yafh37a | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (32).png
